"Started","Stopped","Common Name","Storm","Flood","Locations","Affected","Deaths","Cost","Electricity","Water","Gas","Sewage","Phone/Internet","Road","Train","References"
"1987-??-??","N/A","Great Storm","x",,"UK","N/A",18,"+1bn","x","N/A","N/A","N/A","N/A",,,"http://www.metoffice.gov.uk/news/in-depth/1987-great-storm/fact-file"
"1990-??-??","N/A","Burn's Day Storm","x","x","UK","N/A",47,"4bn","x","N/A","N/A","N/A","N/A","x","x","http://www.metoffice.gov.uk/climate/uk/interesting/jan1990; http://engweb.swan.ac.uk/~hewstonr/Burns_Day_Storm.html"
"1998-??-??","N/A","Easter Floods",,"x","Midlands","N/A",5,"350mn","x","N/A","N/A","N/A","N/A",,,"http://www.metoffice.gov.uk/climate/uk/interesting/easter1998"
"2000-??-??","N/A","Flooding",,"x","UK","N/A",1,"1bn","x","N/A","N/A","N/A","N/A","x","x","http://www.metoffice.gov.uk/climate/uk/interesting/autumn2000.html; http://www.ice.org.uk/Information-resources/Document-Library/Learning-to-live-with-rivers"
"2002-??-??","N/A","Floods",,"x","Scotland","N/A",,"2mn",,"N/A","N/A","N/A","N/A",,,"http://news.bbc.co.uk/1/hi/scotland/2166701.stm"
"2004-??-??","N/A","Boscatle flood",,"x","Cornwall","N/A",,,"x","N/A","N/A","N/A","N/A","x",,"http://www.bbc.co.uk/cornwall/uncovered/stories/august2004/boscastle_floods.shtml"
"2005-??-??","N/A","Floods",,"x","Carlisle","N/A",3,"10mn","x","N/A","N/A","N/A","N/A",,,"http://news.bbc.co.uk/1/hi/uk/4158641.stm"
"2007-??-??","N/A","Floods",,"x","UK","N/A",11,"6bn","x","N/A","N/A","N/A","N/A",,,"http://news.bbc.co.uk/1/hi/uk/7472813.stm; http://en.wikipedia.org/wiki/2007_United_Kingdom_floods"
"2008-??-??","N/A","Floods",,"x","Midlands","N/A",0,,,"N/A","N/A","N/A","N/A",,,"http://news.bbc.co.uk/1/hi/7602110.stm"
"2009-??-??","N/A","Floods",,"x","UK","N/A",4,,"x","N/A","N/A","N/A","N/A","x",,"http://www.metoffice.gov.uk/climate/uk/2009/november.html; http://en.wikipedia.org/wiki/November_2009_Great_Britain_and_Ireland_floods"
"2012-??-??","N/A","Floods",,"x","UK","N/A",9,"1.2bn",,"N/A","N/A","N/A","N/A",,,"http://en.wikipedia.org/wiki/2012_Great_Britain_and_Ireland_floods"
"2013-??-??","N/A","Storm and Floods","x","x","England","N/A",4,,"x","N/A","N/A","N/A","N/A","x","x","http://www.theguardian.com/uk-news/2013/nov/01/more-storms-st-jude"
"2014-??-??","N/A","Floods",,"x","England","N/A",,,"x","N/A","N/A","N/A","N/A","x","x","ongoing as of February 11 2014"
